demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,loss,walls_ag,r_80_roof,kWh,5403.49487417,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,roofs,r_80_roof,kWh,2421.91274828,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,r_80_roof,kWh,4158.94674328,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,r_80_roof,kWh,8341.58240951,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,r_80_roof,kWh,2417.45911864,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,r_80_roof,kWh,3443.69779867,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,r_80_roof,kWh,2598.47891682,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,r_80_roof,kWh,1142.52606918,cooling_demand.north,North,414
cooling,gain,east,r_80_roof,kWh,1356.76038379,cooling_demand.east,East,415
cooling,gain,south,r_80_roof,kWh,3114.19255892,cooling_demand.south,South,416
cooling,gain,west,r_80_roof,kWh,2242.04120915,cooling_demand.west,West,417
cooling,gain,horizontal,r_80_roof,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,r_80_roof,kWh,2093.13979639,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,r_80_roof,kWh,4251.46240129,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,r_80_roof,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,phius_core_2024,kWh,3939.16025494,heating_demand.walls_ag,Walls (AG),376
heating,loss,roofs,phius_core_2024,kWh,2215.00035412,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,phius_core_2024,kWh,2276.5276017,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,phius_core_2024,kWh,4803.16128215,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,phius_core_2024,kWh,1058.29077707,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,phius_core_2024,kWh,3734.94130204,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,phius_core_2024,kWh,7591.9434262,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,phius_core_2024,kWh,631.100494445,heating_demand.north,North,390
heating,gain,east,phius_core_2024,kWh,680.756965851,heating_demand.east,East,391
heating,gain,south,phius_core_2024,kWh,3384.82246982,heating_demand.south,South,392
heating,gain,west,phius_core_2024,kWh,1957.77451545,heating_demand.west,West,393
heating,gain,horizontal,phius_core_2024,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,phius_core_2024,kWh,1142.51572589,heating_demand.sum_opaque_areas,Sum opaque areas,395
