section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
envelope,envelope.envelope_air_leakage_rate_q50,Envelope Air Leakage Rate (q50),code_minumum,Code Minumum,Envelope Air Leakage Rate (q50),m3/hr-m2,2.0169115362,345
envelope,envelope.envelope_air_leakage_rate_q50,Envelope Air Leakage Rate (q50),improved,Improved,Envelope Air Leakage Rate (q50),m3/hr-m2,0.672303845399,345
envelope,envelope.envelope_air_leakage_rate_q50,Envelope Air Leakage Rate (q50),r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Envelope Air Leakage Rate (q50),m3/hr-m2,0.672303845399,345
envelope,envelope.envelope_air_leakage_rate_q50,Envelope Air Leakage Rate (q50),r_52_walls,+R-52 Walls,Envelope Air Leakage Rate (q50),m3/hr-m2,0.672303845399,345
envelope,envelope.envelope_air_leakage_rate_q50,Envelope Air Leakage Rate (q50),r_80_roof,+R-80 Roof,Envelope Air Leakage Rate (q50),m3/hr-m2,0.672303845399,345
envelope,envelope.envelope_air_leakage_rate_q50,Envelope Air Leakage Rate (q50),phius_core_2024,Phius CORE 2024,Envelope Air Leakage Rate (q50),m3/hr-m2,0.40338230724,345
envelope,envelope.window_u_value,Window U-value,code_minumum,Code Minumum,Window U-value (Installed),Btu/hr-ft2-F,0.316992802874,346
envelope,envelope.window_u_value,Window U-value,improved,Improved,Window U-value (Installed),Btu/hr-ft2-F,0.237739544685,346
envelope,envelope.window_u_value,Window U-value,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Window U-value (Installed),Btu/hr-ft2-F,0.237739544685,346
envelope,envelope.window_u_value,Window U-value,r_52_walls,+R-52 Walls,Window U-value (Installed),Btu/hr-ft2-F,0.237739544685,346
envelope,envelope.window_u_value,Window U-value,r_80_roof,+R-80 Roof,Window U-value (Installed),Btu/hr-ft2-F,0.237739544685,346
envelope,envelope.window_u_value,Window U-value,phius_core_2024,Phius CORE 2024,Window U-value (Installed),Btu/hr-ft2-F,0.149680368919,346
envelope,envelope.window_shgc,Window SHGC,code_minumum,Code Minumum,Window SHGC,-,0.48,347
envelope,envelope.window_shgc,Window SHGC,improved,Improved,Window SHGC,-,0.48,347
envelope,envelope.window_shgc,Window SHGC,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Window SHGC,-,0.48,347
envelope,envelope.window_shgc,Window SHGC,r_52_walls,+R-52 Walls,Window SHGC,-,0.48,347
envelope,envelope.window_shgc,Window SHGC,r_80_roof,+R-80 Roof,Window SHGC,-,0.48,347
envelope,envelope.window_shgc,Window SHGC,phius_core_2024,Phius CORE 2024,Window SHGC,-,0.48,347
systems,systems.ventilation_system,Ventilation System,code_minumum,Code Minumum,Ventilation System,,2-Extract air unit,350
systems,systems.ventilation_system,Ventilation System,improved,Improved,Ventilation System,,1-Balanced PH ventilation with HR,350
systems,systems.ventilation_system,Ventilation System,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Ventilation System,,1-Balanced PH ventilation with HR,350
systems,systems.ventilation_system,Ventilation System,r_52_walls,+R-52 Walls,Ventilation System,,1-Balanced PH ventilation with HR,350
systems,systems.ventilation_system,Ventilation System,r_80_roof,+R-80 Roof,Ventilation System,,1-Balanced PH ventilation with HR,350
systems,systems.ventilation_system,Ventilation System,phius_core_2024,Phius CORE 2024,Ventilation System,,1-Balanced PH ventilation with HR,350
systems,systems.ventilation_unit_hr_efficiency,Ventilation Unit HR Efficiency,code_minumum,Code Minumum,Ventilation Unit HR Efficiency,%,,351
systems,systems.ventilation_unit_hr_efficiency,Ventilation Unit HR Efficiency,improved,Improved,Ventilation Unit HR Efficiency,%,0.756876060308,351
systems,systems.ventilation_unit_hr_efficiency,Ventilation Unit HR Efficiency,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Ventilation Unit HR Efficiency,%,0.756876060308,351
systems,systems.ventilation_unit_hr_efficiency,Ventilation Unit HR Efficiency,r_52_walls,+R-52 Walls,Ventilation Unit HR Efficiency,%,0.756876060308,351
systems,systems.ventilation_unit_hr_efficiency,Ventilation Unit HR Efficiency,r_80_roof,+R-80 Roof,Ventilation Unit HR Efficiency,%,0.756876060308,351
systems,systems.ventilation_unit_hr_efficiency,Ventilation Unit HR Efficiency,phius_core_2024,Phius CORE 2024,Ventilation Unit HR Efficiency,%,0.785642684722,351
systems,systems.ventilation_unit_er_efficiency,Ventilation Unit ER Efficiency,code_minumum,Code Minumum,Ventilation Unit ER Efficiency,%,,352
systems,systems.ventilation_unit_er_efficiency,Ventilation Unit ER Efficiency,improved,Improved,Ventilation Unit ER Efficiency,%,0.68,352
systems,systems.ventilation_unit_er_efficiency,Ventilation Unit ER Efficiency,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Ventilation Unit ER Efficiency,%,0.68,352
systems,systems.ventilation_unit_er_efficiency,Ventilation Unit ER Efficiency,r_52_walls,+R-52 Walls,Ventilation Unit ER Efficiency,%,0.68,352
systems,systems.ventilation_unit_er_efficiency,Ventilation Unit ER Efficiency,r_80_roof,+R-80 Roof,Ventilation Unit ER Efficiency,%,0.68,352
systems,systems.ventilation_unit_er_efficiency,Ventilation Unit ER Efficiency,phius_core_2024,Phius CORE 2024,Ventilation Unit ER Efficiency,%,0.68,352
systems,systems.system_hr_efficiency,System HR Efficiency,code_minumum,Code Minumum,System HR Efficiency,%,,353
systems,systems.system_hr_efficiency,System HR Efficiency,improved,Improved,System HR Efficiency,%,0.756876060308,353
systems,systems.system_hr_efficiency,System HR Efficiency,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,System HR Efficiency,%,0.756876060308,353
systems,systems.system_hr_efficiency,System HR Efficiency,r_52_walls,+R-52 Walls,System HR Efficiency,%,0.756876060308,353
systems,systems.system_hr_efficiency,System HR Efficiency,r_80_roof,+R-80 Roof,System HR Efficiency,%,0.756876060308,353
systems,systems.system_hr_efficiency,System HR Efficiency,phius_core_2024,Phius CORE 2024,System HR Efficiency,%,0.785642684722,353
systems,systems.cold_air_duct_length_ea,Cold Air Duct Length (ea),code_minumum,Code Minumum,Cold Air Duct Length (ea),m,5,354
systems,systems.cold_air_duct_length_ea,Cold Air Duct Length (ea),improved,Improved,Cold Air Duct Length (ea),m,5,354
systems,systems.cold_air_duct_length_ea,Cold Air Duct Length (ea),r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Cold Air Duct Length (ea),m,5,354
systems,systems.cold_air_duct_length_ea,Cold Air Duct Length (ea),r_52_walls,+R-52 Walls,Cold Air Duct Length (ea),m,5,354
systems,systems.cold_air_duct_length_ea,Cold Air Duct Length (ea),r_80_roof,+R-80 Roof,Cold Air Duct Length (ea),m,5,354
systems,systems.cold_air_duct_length_ea,Cold Air Duct Length (ea),phius_core_2024,Phius CORE 2024,Cold Air Duct Length (ea),m,2.5,354
systems,systems.cold_air_duct_insulation_thickness,Cold Air Duct Insulation Thickness,code_minumum,Code Minumum,Cold Air Duct Insulation Thickness,mm,25,355
systems,systems.cold_air_duct_insulation_thickness,Cold Air Duct Insulation Thickness,improved,Improved,Cold Air Duct Insulation Thickness,mm,25,355
systems,systems.cold_air_duct_insulation_thickness,Cold Air Duct Insulation Thickness,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Cold Air Duct Insulation Thickness,mm,25,355
systems,systems.cold_air_duct_insulation_thickness,Cold Air Duct Insulation Thickness,r_52_walls,+R-52 Walls,Cold Air Duct Insulation Thickness,mm,25,355
systems,systems.cold_air_duct_insulation_thickness,Cold Air Duct Insulation Thickness,r_80_roof,+R-80 Roof,Cold Air Duct Insulation Thickness,mm,25,355
systems,systems.cold_air_duct_insulation_thickness,Cold Air Duct Insulation Thickness,phius_core_2024,Phius CORE 2024,Cold Air Duct Insulation Thickness,mm,52,355
systems,systems.heating_system,Heating System,code_minumum,Code Minumum,Heating System,,Heat pump(s),356
systems,systems.heating_system,Heating System,improved,Improved,Heating System,,Heat pump(s),356
systems,systems.heating_system,Heating System,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Heating System,,Heat pump(s),356
systems,systems.heating_system,Heating System,r_52_walls,+R-52 Walls,Heating System,,Heat pump(s),356
systems,systems.heating_system,Heating System,r_80_roof,+R-80 Roof,Heating System,,Heat pump(s),356
systems,systems.heating_system,Heating System,phius_core_2024,Phius CORE 2024,Heating System,,Heat pump(s),356
systems,systems.cooling_system,Cooling System,code_minumum,Code Minumum,Cooling System,,Elec. Heat Pump,357
systems,systems.cooling_system,Cooling System,improved,Improved,Cooling System,,Elec. Heat Pump,357
systems,systems.cooling_system,Cooling System,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Cooling System,,Elec. Heat Pump,357
systems,systems.cooling_system,Cooling System,r_52_walls,+R-52 Walls,Cooling System,,Elec. Heat Pump,357
systems,systems.cooling_system,Cooling System,r_80_roof,+R-80 Roof,Cooling System,,Elec. Heat Pump,357
systems,systems.cooling_system,Cooling System,phius_core_2024,Phius CORE 2024,Cooling System,,Elec. Heat Pump,357
systems,systems.dhw_system,DHW System,code_minumum,Code Minumum,DHW System,,Heat pump(s),358
systems,systems.dhw_system,DHW System,improved,Improved,DHW System,,Heat pump(s),358
systems,systems.dhw_system,DHW System,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,DHW System,,Heat pump(s),358
systems,systems.dhw_system,DHW System,r_52_walls,+R-52 Walls,DHW System,,Heat pump(s),358
systems,systems.dhw_system,DHW System,r_80_roof,+R-80 Roof,DHW System,,Heat pump(s),358
systems,systems.dhw_system,DHW System,phius_core_2024,Phius CORE 2024,DHW System,,Heat pump(s),358
certification_limits,certification_limits.heat_demand_limit,Heat Demand Limit,code_minumum,Code Minumum,Heat Demand Limit,kWh/m2,29,363
certification_limits,certification_limits.heat_demand_limit,Heat Demand Limit,improved,Improved,Heat Demand Limit,kWh/m2,29,363
certification_limits,certification_limits.heat_demand_limit,Heat Demand Limit,r_35_walls_r_59_roof,R-35 Walls / R-59 Roof,Heat Demand Limit,kWh/m2,29,363
certification_limits,certification_limits.heat_demand_limit,Heat Demand Limit,r_52_walls,+R-52 Walls,Heat Demand Limit,kWh/m2,29,363
certification_limits,certification_limits.heat_demand_limit,Heat Demand Limit,r_80_roof,+R-80 Roof,Heat Demand Limit,kWh/m2,29,363
certification_limits,certification_limits.heat_demand_limit,Heat Demand Limit,phius_core_2024,Phius CORE 2024,Heat Demand Limit,kWh/m2,29,363
