metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
phius_net_source_energy,cooking,improved,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,improved,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,improved,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,improved,kWh,108.9,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,improved,kWh,108.9,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,improved,kWh,0,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,improved,kWh,0,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,improved,kWh,1586.17882813,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,improved,kWh,1586.17882813,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,improved,kWh,85.3085801955,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,improved,kWh,85.3085801955,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,improved,kWh,4581.82463824,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,improved,kWh,4581.82463824,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,improved,kWh,921.458603865,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,improved,kWh,921.458603865,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,improved,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,improved,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,improved,kWh,27024.1676625,primary_energy_renewable.heating,Heating,520
per,cooling,improved,kWh,1093.51635075,primary_energy_renewable.cooling,Cooling,521
per,dhw,improved,kWh,2470.163607,primary_energy_renewable.dhw,DHW,522
per,dishwashing,improved,kWh,397.0065,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,improved,kWh,520.15041,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,improved,kWh,14.852295,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,improved,kWh,876,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,improved,kWh,0,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,improved,kWh,0,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,improved,kWh,72.6,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,improved,kWh,0,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,improved,kWh,1057.45255209,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,improved,kWh,56.872386797,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,improved,kWh,3054.54975882,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,improved,kWh,614.30573591,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,improved,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,improved,tonsCO2e,4.87895783745,co2e.heating,Heating,502
co2e,cooling,improved,tonsCO2e,0.270544045298,co2e.cooling,Cooling,503
co2e,dhw,improved,tonsCO2e,0.687528870614,co2e.dhw,DHW,504
co2e,dishwashing,improved,tonsCO2e,0.1105001425,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,improved,tonsCO2e,0.14477519745,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,improved,tonsCO2e,0.004133888775,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,improved,tonsCO2e,0.24382,co2e.refrigerator,Refrigerator,508
co2e,cooking,improved,tonsCO2e,0,co2e.cooking,Cooking,509
co2e,phi_lighting,improved,tonsCO2e,0,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,improved,tonsCO2e,0.020207,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,improved,tonsCO2e,0,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,improved,tonsCO2e,0.294324293664,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,improved,tonsCO2e,0.0158294809918,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,improved,tonsCO2e,0.850183016206,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,improved,tonsCO2e,0.341963526323,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,improved,tonsCO2e,5,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,improved,kWh,41452.7364221,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,improved,kWh,25875.0000001,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,r_35_walls_r_59_roof,kWh,12622.0650726,site_energy.heating,Heating,423
site_energy,cooling,r_35_walls_r_59_roof,kWh,775.016946896,site_energy.cooling,Cooling,424
site_energy,dhw,r_35_walls_r_59_roof,kWh,2045.48058335,site_energy.dhw,DHW,425
site_energy,dishwashing,r_35_walls_r_59_roof,kWh,330.83875,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,r_35_walls_r_59_roof,kWh,433.458675,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,r_35_walls_r_59_roof,kWh,12.3769125,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,r_35_walls_r_59_roof,kWh,730,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,r_35_walls_r_59_roof,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,r_35_walls_r_59_roof,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,r_35_walls_r_59_roof,kWh,60.5,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,r_35_walls_r_59_roof,kWh,0,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,r_35_walls_r_59_roof,kWh,881.210460071,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,r_35_walls_r_59_roof,kWh,47.3936556642,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,r_35_walls_r_59_roof,kWh,2545.45813235,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,r_35_walls_r_59_roof,kWh,511.921446592,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,r_35_walls_r_59_roof,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,r_35_walls_r_59_roof,kWh,22719.7171306,primary_energy.heating,Heating,441
phius_net_source_energy,heating,r_35_walls_r_59_roof,kWh,22719.7171306,primary_energy.heating,Heating,441
primary_energy,cooling,r_35_walls_r_59_roof,kWh,1395.03050441,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,r_35_walls_r_59_roof,kWh,1395.03050441,primary_energy.cooling,Cooling,442
primary_energy,dhw,r_35_walls_r_59_roof,kWh,3681.86505004,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,r_35_walls_r_59_roof,kWh,3681.86505004,primary_energy.dhw,DHW,443
primary_energy,dishwashing,r_35_walls_r_59_roof,kWh,595.50975,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,r_35_walls_r_59_roof,kWh,595.50975,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,r_35_walls_r_59_roof,kWh,780.225615,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,r_35_walls_r_59_roof,kWh,780.225615,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,r_35_walls_r_59_roof,kWh,22.2784425,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,r_35_walls_r_59_roof,kWh,22.2784425,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,r_35_walls_r_59_roof,kWh,1314,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,r_35_walls_r_59_roof,kWh,1314,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,r_35_walls_r_59_roof,kWh,0,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,r_35_walls_r_59_roof,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,r_35_walls_r_59_roof,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,r_35_walls_r_59_roof,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,r_35_walls_r_59_roof,kWh,108.9,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,r_35_walls_r_59_roof,kWh,108.9,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,r_35_walls_r_59_roof,kWh,0,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,r_35_walls_r_59_roof,kWh,0,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,r_35_walls_r_59_roof,kWh,1586.17882813,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,r_35_walls_r_59_roof,kWh,1586.17882813,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,r_35_walls_r_59_roof,kWh,85.3085801955,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,r_35_walls_r_59_roof,kWh,85.3085801955,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,r_35_walls_r_59_roof,kWh,4581.82463824,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,r_35_walls_r_59_roof,kWh,4581.82463824,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,r_35_walls_r_59_roof,kWh,921.458603865,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,r_35_walls_r_59_roof,kWh,921.458603865,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,r_35_walls_r_59_roof,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,r_35_walls_r_59_roof,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,r_35_walls_r_59_roof,kWh,23350.8203842,primary_energy_renewable.heating,Heating,520
per,cooling,r_35_walls_r_59_roof,kWh,1046.27287831,primary_energy_renewable.cooling,Cooling,521
per,dhw,r_35_walls_r_59_roof,kWh,2454.57670002,primary_energy_renewable.dhw,DHW,522
per,dishwashing,r_35_walls_r_59_roof,kWh,397.0065,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,r_35_walls_r_59_roof,kWh,520.15041,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,r_35_walls_r_59_roof,kWh,14.852295,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,r_35_walls_r_59_roof,kWh,876,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,r_35_walls_r_59_roof,kWh,0,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,r_35_walls_r_59_roof,kWh,0,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,r_35_walls_r_59_roof,kWh,72.6,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,r_35_walls_r_59_roof,kWh,0,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,r_35_walls_r_59_roof,kWh,1057.45255209,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
